OPR_DATE,HOUR_ENDING,time_of_day,season,agg_hour,NG_COL_CAL,NG_NG_CAL,NG_NUC_CAL,NG_OIL_CAL,NG_WAT_CAL,NG_SUN_CAL,NG_WND_CAL,NG_OTH_CAL,LOADING_MW_ACTUAL_CAISO,LOADING_MW_ACTUAL_PGE,LOADING_MW_ACTUAL_SCE,LOADING_MW_ACTUAL_SDGE,LOADING_MW_FORECAST_CAISO,LOADING_MW_FORECAST_PGE,LOADING_MW_FORECAST_SCE,LOADING_MW_FORECAST_SDGE,GAS_PRICE_PGE,GAS_PRICE_SCE,DA_LMP_PGE_NP15
1/8/2020,10,day,winter,178,673,8231,2274,91,368,5746,2237,792,24853,11904,10514,2314,24427,11474,10670,2164,4,6,33
1/8/2020,11,day,winter,179,662,7528,2274,90,345,6791,2030,782,24408,11793,10219,2283,23681,11063,10464,2041,4,6,26
1/8/2020,12,day,winter,180,665,7185,2273,90,339,7586,1958,768,23796,11601,9987,2100,23068,10711,10299,1952,4,6,26
1/8/2020,13,day,winter,181,663,6801,2273,91,313,7175,2504,775,23238,11258,9882,1994,22755,10505,10229,1923,4,6,24
1/8/2020,14,day,winter,182,662,6057,2272,91,309,7036,2818,759,23035,11025,9941,1968,22707,10409,10280,1920,4,6,25
1/8/2020,15,day,winter,183,660,6491,2272,48,310,5837,3458,747,23326,11043,10077,2105,22863,10394,10395,1977,4,6,28
1/8/2020,16,day,winter,184,660,7936,2271,91,305,4009,3987,766,24299,11460,10430,2306,23473,10699,10589,2085,4,6,33
1/8/2020,17,day,winter,185,665,9099,2272,91,312,1887,3723,777,25835,12220,11028,2474,24918,11479,11040,2288,4,6,37
1/8/2020,18,dusk,winter,186,721,10604,2271,91,304,42,3793,776,27493,13032,11649,2692,27609,12638,12184,2671,4,6,41
1/8/2020,19,dusk,winter,187,866,11163,2272,91,654,-24,3735,801,27685,13145,11734,2686,28059,12855,12311,2778,4,6,42
1/8/2020,20,dusk,winter,188,911,11559,2275,91,509,-24,3173,789,27334,12863,11722,2624,27540,12598,12095,2716,4,6,40
1/8/2020,21,night,winter,189,911,12238,2274,47,366,-24,3085,782,26737,12431,11662,2517,26658,12204,11737,2582,4,6,38
1/8/2020,22,night,winter,190,904,10742,2272,90,309,-24,3038,784,25606,11762,11383,2340,25315,11602,11176,2406,4,6,37
1/8/2020,23,night,winter,191,779,10091,2273,90,298,-24,3163,778,23768,10856,10631,2166,23451,10714,10413,2196,4,6,34
1/8/2020,24,night,winter,192,673,9659,2276,90,137,-25,3287,781,21861,9952,9724,2068,21754,9938,9682,2010,4,6,31
1/9/2020,1,night,winter,193,660,8406,2274,90,121,-25,3137,784,20783,9513,9154,1999,20614,9411,9113,1984,4,5,31
1/9/2020,2,night,winter,194,662,7787,2274,90,223,-27,3496,779,20058,9199,8816,1923,19856,9093,8742,1913,4,5,30
1/9/2020,3,night,winter,195,663,7490,2273,90,203,-27,3383,779,19718,9050,8665,1881,19396,8895,8531,1862,4,5,29
1/9/2020,4,night,winter,196,663,7207,2274,91,205,-27,3386,778,19832,9112,8719,1877,19297,8864,8482,1840,4,5,30
1/9/2020,5,night,winter,197,664,7766,2273,91,219,-29,3256,780,20651,9507,9068,1948,19865,9119,8741,1887,4,5,32
1/9/2020,6,night,winter,198,663,8364,2273,90,218,-30,3020,778,22432,10342,9839,2116,21413,9775,9481,2036,4,5,36
1/9/2020,7,morning,winter,199,694,9939,2273,90,242,-31,3038,780,24616,11374,10752,2342,23934,10865,10629,2306,4,5,42
1/9/2020,8,morning,winter,200,904,10861,2274,91,248,99,3139,819,25756,12118,11070,2415,25296,11722,11016,2416,4,5,42
1/9/2020,9,morning,winter,201,964,10757,2274,91,373,2715,3232,819,25523,12114,10947,2320,25157,11699,10935,2390,4,5,38
1/9/2020,10,day,winter,202,681,8762,2275,91,340,5475,3064,785,25115,12011,10769,2215,24775,11554,10764,2332,4,5,35
1/9/2020,11,day,winter,203,664,8537,2273,90,346,6049,2802,778,24608,11705,10653,2143,24287,11352,10580,2238,4,5,30
